Type,Series,Car,Axle,Position,Time,Mileage,tamian,zhijing
C70A,4,7,78960,5,484,204963,2.8,836.4
C70A,4,7,78960,6,484,204963,3.2,835.4
C70A,4,7,24759,7,484,204963,2.8,836.6
C70A,4,7,24759,8,484,204963,3.1,836.2
C70A,4,8,14981,1,0,0,NA,804
C70A,4,8,14981,2,0,0,NA,804
C70A,4,8,47531,3,0,0,NA,800.2
C70A,4,8,47531,4,0,0,NA,800.5
C70A,4,8,18649,5,0,0,NA,801.6
C70A,4,8,18649,6,0,0,NA,801.5
C70A,4,8,23094,7,0,0,NA,804.6
C70A,4,8,23094,8,0,0,NA,804.7
C70A,4,8,14981,1,374,153125,2.5,801.7
C70A,4,8,14981,2,374,153125,2.5,801.7
C70A,4,8,47531,3,374,153125,3.1,797.2
C70A,4,8,47531,4,374,153125,2.5,799.4
C70A,4,8,18649,5,374,153125,2.2,800
C70A,4,8,18649,6,374,153125,2.5,799.3
C70A,4,8,23094,7,374,153125,2.4,803
C70A,4,8,23094,8,374,153125,2.5,802.7
C70A,4,8,14981,1,429,178601,NA,NA
C70A,4,8,14981,2,429,178601,1.4,NA
C70A,4,8,47531,3,429,178601,3.9,NA
C70A,4,8,47531,4,429,178601,1.9,NA
C70A,4,8,18649,5,429,178601,3.3,NA
C70A,4,8,18649,6,429,178601,1.9,NA
C70A,4,8,23094,7,429,178601,NA,NA
C70A,4,8,23094,8,429,178601,2.5,NA
C70A,4,8,14981,1,484,204963,3.2,798.3
C70A,4,8,14981,2,484,204963,3.3,798.8
C70A,4,8,47531,3,484,204963,4.9,792.2
C70A,4,8,47531,4,484,204963,2.8,796.7
C70A,4,8,18649,5,484,204963,3.8,795.7
C70A,4,8,18649,6,484,204963,3.5,796.5
C70A,4,8,23094,7,484,204963,2.9,800.2
C70A,4,8,23094,8,484,204963,3.2,800.1
C70A,4,9,36434,1,0,0,NA,840.5
C70A,4,9,36434,2,0,0,NA,840.5
C70A,4,9,36046,3,0,0,0,838
C70A,4,9,36046,4,0,0,0,838
C70A,4,9,35164,5,0,0,0,838
C70A,4,9,35164,6,0,0,0,838
C70A,4,9,61447,7,0,0,NA,840.2
C70A,4,9,61447,8,0,0,NA,840.7
C70A,4,9,36434,1,374,153125,2.1,839.1
C70A,4,9,36434,2,374,153125,2.5,838
C70A,4,9,36046,3,374,153125,0.8,837
C70A,4,9,36046,4,374,153125,0.6,836
C70A,4,9,35164,5,374,153125,0.7,836.6
C70A,4,9,35164,6,374,153125,0.5,835.4
C70A,4,9,61447,7,374,153125,2.7,838.3
C70A,4,9,61447,8,374,153125,2.5,837.8
C70A,4,9,36434,1,429,178601,2.5,NA
C70A,4,9,36434,2,429,178601,2.1,NA
C70A,4,9,36046,3,429,178601,2.3,NA
C70A,4,9,36046,4,429,178601,NA,NA
C70A,4,9,35164,5,429,178601,NA,NA
C70A,4,9,35164,6,429,178601,NA,NA
C70A,4,9,61447,7,429,178601,3.2,NA
C70A,4,9,61447,8,429,178601,NA,NA
C70A,4,9,36434,1,484,204963,2.7,836.2
C70A,4,9,36434,2,484,204963,4.2,834.2
C70A,4,9,36046,3,484,204963,2.4,833.2
C70A,4,9,36046,4,484,204963,1.4,833.8
